,community.type,Day,method,Treatment,Df,R2,Fs,ps,qs
176,PICRUSTs2,all,jaccard,citrate,1,0.186725889,299.8546347,0.00019996,0.000211278
177,PICRUSTs2,day2,bray,All,7,0.662582519,58.91062752,0.00019996,0.000211278
178,PICRUSTs2,day2,bray,glucose,1,0.096570621,23.08897029,0.00019996,0.000211278
179,PICRUSTs2,day2,bray,leucine,1,0.416185649,153.9806276,0.00019996,0.000211278
180,PICRUSTs2,day2,bray,citrate,1,0.080114878,18.81192917,0.00019996,0.000211278
181,PICRUSTs2,day2,jaccard,All,7,0.628030945,50.65187043,0.00019996,0.000211278
182,PICRUSTs2,day2,jaccard,glucose,1,0.088347376,20.93235159,0.00019996,0.000211278
183,PICRUSTs2,day2,jaccard,leucine,1,0.377486183,130.98025,0.00019996,0.000211278
184,PICRUSTs2,day2,jaccard,citrate,1,0.073055968,17.02377757,0.00019996,0.000211278
185,PICRUSTs2,day4,bray,All,7,0.827162105,143.5730468,0.00019996,0.000211278
186,PICRUSTs2,day4,bray,glucose,1,0.025951095,5.754779413,0.01119776,0.011349766
187,PICRUSTs2,day4,bray,leucine,1,0.400254273,144.1526286,0.00019996,0.000211278
188,PICRUSTs2,day4,bray,citrate,1,0.181153008,47.78554493,0.00019996,0.000211278
189,PICRUSTs2,day4,jaccard,All,7,0.80369605,122.8242298,0.00019996,0.000211278
190,PICRUSTs2,day4,jaccard,glucose,1,0.026598807,5.902337343,0.00519896,0.005293487
191,PICRUSTs2,day4,jaccard,leucine,1,0.347180534,114.8724868,0.00019996,0.000211278
192,PICRUSTs2,day4,jaccard,citrate,1,0.183342806,48.49286366,0.00019996,0.000211278
193,PICRUSTs2,day6,bray,All,7,0.770981353,100.9937001,0.00019996,0.000211278
194,PICRUSTs2,day6,bray,glucose,1,0.15607149,39.94585018,0.00019996,0.000211278
195,PICRUSTs2,day6,bray,leucine,1,0.056664249,12.97467815,0.00019996,0.000211278
196,PICRUSTs2,day6,bray,citrate,1,0.291978902,89.07565478,0.00019996,0.000211278
197,PICRUSTs2,day6,jaccard,All,7,0.725450311,79.2698377,0.00019996,0.000211278
198,PICRUSTs2,day6,jaccard,glucose,1,0.140032931,35.17240844,0.00019996,0.000211278
199,PICRUSTs2,day6,jaccard,leucine,1,0.052444957,11.95509507,0.00019996,0.000211278
200,PICRUSTs2,day6,jaccard,citrate,1,0.250692051,72.26599308,0.00019996,0.000211278
201,PICRUSTs2,day8,bray,All,7,0.736264836,83.75047422,0.00019996,0.000211278
202,PICRUSTs2,day8,bray,glucose,1,0.260871201,76.23594085,0.00019996,0.000211278
203,PICRUSTs2,day8,bray,leucine,1,0.022109369,4.883597057,0.018596281,0.018679672
204,PICRUSTs2,day8,bray,citrate,1,0.329288397,106.0460166,0.00019996,0.000211278
205,PICRUSTs2,day8,jaccard,All,7,0.688158103,66.20259591,0.00019996,0.000211278
206,PICRUSTs2,day8,jaccard,glucose,1,0.221630032,61.50299851,0.00019996,0.000211278
207,PICRUSTs2,day8,jaccard,leucine,1,0.031380914,6.997877253,0.00219956,0.002270514
208,PICRUSTs2,day8,jaccard,citrate,1,0.297430657,91.44296217,0.00019996,0.000211278
209,PICRUSTs2,day10,bray,All,7,0.730028094,81.12267359,0.00019996,0.000211278
210,PICRUSTs2,day10,bray,glucose,1,0.310262318,97.16253348,0.00019996,0.000211278
211,PICRUSTs2,day10,bray,leucine,1,0.03525644,7.893694495,0.00439912,0.004499557
212,PICRUSTs2,day10,bray,citrate,1,0.309370146,96.75798266,0.00019996,0.000211278
213,PICRUSTs2,day10,jaccard,All,7,0.672149799,61.50520556,0.00019996,0.000211278
214,PICRUSTs2,day10,jaccard,glucose,1,0.260679844,76.16030207,0.00019996,0.000211278
215,PICRUSTs2,day10,jaccard,leucine,1,0.037858589,8.499223947,0.00139972,0.001458313
216,PICRUSTs2,day10,jaccard,citrate,1,0.279381124,83.74235662,0.00019996,0.000211278
217,PICRUSTs2,day12,bray,All,7,0.682822974,64.58440409,0.00019996,0.000211278
218,PICRUSTs2,day12,bray,glucose,1,0.332144283,107.4231506,0.00019996,0.000211278
219,PICRUSTs2,day12,bray,leucine,1,0.03430668,7.673495131,0.00379924,0.003903806
220,PICRUSTs2,day12,bray,citrate,1,0.253170116,73.22249197,0.00019996,0.000211278
221,PICRUSTs2,day12,jaccard,All,7,0.624945784,49.98843562,0.00019996,0.000211278
222,PICRUSTs2,day12,jaccard,glucose,1,0.279682352,83.86770519,0.00019996,0.000211278
223,PICRUSTs2,day12,jaccard,leucine,1,0.034416446,7.698921847,0.00219956,0.002270514
224,PICRUSTs2,day12,jaccard,citrate,1,0.23454872,66.18647697,0.00019996,0.000211278
